"persona_id","nickname","label","platform","device","churn_risk","top_complaint_1","top_score_1","top_complaint_2","top_score_2","top_complaint_3","top_score_3"
"P020","川川","TapTap经营模拟核心玩家·D","taptap","low_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P021","可乐","TapTap画面与UI党·A","taptap","high_android","低","菜品/供应链等侧系统深度不足","46","没有字体缩放/高可读设置","45","",""
"P022","小顾","TapTap画面与UI党·B","taptap","high_android","低","菜品/供应链等侧系统深度不足","43","没有字体缩放/高可读设置","42","",""
"P023","阿坤","TapTap画面与UI党·C","taptap","small_android","低","菜品/供应链等侧系统深度不足","41","没有字体缩放/高可读设置","40","",""
"P024","明月","TapTap画面与UI党·D","taptap","low_android","低","菜品/供应链等侧系统深度不足","44","没有字体缩放/高可读设置","43","",""
"P025","小贺","TapTap数值硬核玩家·A","taptap","high_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P026","安安","TapTap数值硬核玩家·B","taptap","high_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P027","老陈","TapTap数值硬核玩家·C","taptap","small_android","低","菜品/供应链等侧系统深度不足","55","","","",""
"P028","晓晓","TapTap数值硬核玩家·D","taptap","low_android","中","菜品/供应链等侧系统深度不足","59","","","",""
"P029","阿文","TapTap养老休闲玩家·A","taptap","mid_android","低","菜品/供应链等侧系统深度不足","48","没有字体缩放/高可读设置","45","",""
"P030","乐乐","TapTap养老休闲玩家·B","taptap","mid_android","低","菜品/供应链等侧系统深度不足","44","没有字体缩放/高可读设置","42","",""
"P031","小唐","TapTap养老休闲玩家·C","taptap","small_android","低","菜品/供应链等侧系统深度不足","43","没有字体缩放/高可读设置","40","",""
"P032","子墨","TapTap养老休闲玩家·D","taptap","low_android","低","菜品/供应链等侧系统深度不足","46","没有字体缩放/高可读设置","43","",""
"P033","阿霖","零氪长期玩家·A","cross","mid_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P034","小宋","零氪长期玩家·B","cross","mid_android","低","菜品/供应链等侧系统深度不足","54","","","",""
"P035","阿远","零氪长期玩家·C","cross","small_android","低","菜品/供应链等侧系统深度不足","52","","","",""
"P036","然然","零氪长期玩家·D","cross","low_android","中","菜品/供应链等侧系统深度不足","56","","","",""
"P037","大白","轻氪效率玩家·A","cross","high_android","中","菜品/供应链等侧系统深度不足","56","","","",""
"P038","小季","轻氪效率玩家·B","cross","high_android","低","菜品/供应链等侧系统深度不足","53","","","",""
"P039","浅浅","轻氪效率玩家·C","cross","small_android","低","菜品/供应链等侧系统深度不足","51","","","",""
"P040","阿川","轻氪效率玩家·D","cross","low_android","低","菜品/供应链等侧系统深度不足","54","","","",""
"P041","鹿鹿","付费效率型玩家·A","cross","high_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P042","小夏2","付费效率型玩家·B","cross","high_android","低","菜品/供应链等侧系统深度不足","54","","","",""
"P043","阿策","付费效率型玩家·C","cross","small_android","低","菜品/供应链等侧系统深度不足","52","","","",""
"P044","洛洛","付费效率型玩家·D","cross","low_android","中","菜品/供应链等侧系统深度不足","56","","","",""
"P045","小韩","装修审美党·A","cross","high_android","低","菜品/供应链等侧系统深度不足","48","","","",""
"P046","小郑","装修审美党·B","cross","high_android","低","菜品/供应链等侧系统深度不足","44","","","",""
"P047","南风","装修审美党·C","cross","small_android","低","菜品/供应链等侧系统深度不足","43","","","",""
"P048","小谢","装修审美党·D","cross","low_android","低","菜品/供应链等侧系统深度不足","46","","","",""
"P049","果果","沙盒自由建造党·A","cross","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P050","阿墨","沙盒自由建造党·B","cross","tablet","中","菜品/供应链等侧系统深度不足","56","","","",""
"P051","小许","沙盒自由建造党·C","cross","small_android","低","菜品/供应链等侧系统深度不足","54","","","",""
"P052","小乔","沙盒自由建造党·D","cross","low_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P053","阿宇","餐饮经营深度党·A","cross","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P054","然子","餐饮经营深度党·B","cross","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P055","琪琪","餐饮经营深度党·C","cross","small_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P056","老高","餐饮经营深度党·D","cross","low_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P057","小温","完全新手游盲·A","cross","mid_android","低","没有字体缩放/高可读设置","55","菜品/供应链等侧系统深度不足","51","",""
"P058","阿峰","完全新手游盲·B","cross","mid_android","低","没有字体缩放/高可读设置","52","菜品/供应链等侧系统深度不足","48","",""
"P059","小雨","完全新手游盲·C","cross","small_android","低","没有字体缩放/高可读设置","50","菜品/供应链等侧系统深度不足","46","",""
"P060","阿睿","完全新手游盲·D","cross","low_android","低","没有字体缩放/高可读设置","53","菜品/供应链等侧系统深度不足","49","",""
"P061","阿洛","大字体需求玩家·A","cross","mid_android","低","没有字体缩放/高可读设置","60","菜品/供应链等侧系统深度不足","46","状态信息依赖颜色且缺少辅助模式","40"
"P062","小武","大字体需求玩家·B","cross","mid_android","低","没有字体缩放/高可读设置","60","菜品/供应链等侧系统深度不足","43","状态信息依赖颜色且缺少辅助模式","40"
"P063","苗苗","大字体需求玩家·C","cross","small_android","低","没有字体缩放/高可读设置","58","菜品/供应链等侧系统深度不足","41","状态信息依赖颜色且缺少辅助模式","38"
"P064","阿成","大字体需求玩家·D","cross","low_android","低","没有字体缩放/高可读设置","60","菜品/供应链等侧系统深度不足","44","状态信息依赖颜色且缺少辅助模式","40"
"P065","小曹","小屏单手玩家·A","douyin","small_android","低","没有字体缩放/高可读设置","56","菜品/供应链等侧系统深度不足","46","",""
"P066","团子","小屏单手玩家·B","douyin","small_android","低","没有字体缩放/高可读设置","53","菜品/供应链等侧系统深度不足","43","",""
"P067","小叶","小屏单手玩家·C","douyin","small_android","低","没有字体缩放/高可读设置","51","菜品/供应链等侧系统深度不足","41","",""
"P068","阿豪","小屏单手玩家·D","douyin","low_android","低","没有字体缩放/高可读设置","54","菜品/供应链等侧系统深度不足","44","",""
"P069","小杜","低端机玩家·A","douyin","low_android","低","菜品/供应链等侧系统深度不足","45","没有字体缩放/高可读设置","44","",""
"P070","小鱼","低端机玩家·B","douyin","low_android","低","菜品/供应链等侧系统深度不足","42","没有字体缩放/高可读设置","41","",""
"P071","晨晨","低端机玩家·C","douyin","small_android","低","菜品/供应链等侧系统深度不足","40","没有字体缩放/高可读设置","39","",""
"P072","阿彬","低端机玩家·D","douyin","low_android","低","菜品/供应链等侧系统深度不足","43","没有字体缩放/高可读设置","42","",""
"P073","小秦","高端机视觉玩家·A","cross","high_android","低","菜品/供应链等侧系统深度不足","53","","","",""
"P074","橙子","高端机视觉玩家·B","cross","high_android","低","菜品/供应链等侧系统深度不足","49","","","",""
"P075","老胡","高端机视觉玩家·C","cross","small_android","低","菜品/供应链等侧系统深度不足","47","","","",""
"P076","小冯","高端机视觉玩家·D","cross","low_android","低","菜品/供应链等侧系统深度不足","51","","","",""
"P077","阿宁","平板经营策略玩家·A","taptap","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P078","小苏","平板经营策略玩家·B","taptap","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P079","小邹","平板经营策略玩家·C","taptap","small_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P080","小彤","平板经营策略玩家·D","taptap","low_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P081","阿凯","反复重开试错玩家·A","cross","mid_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P082","小赵","反复重开试错玩家·B","cross","mid_android","低","菜品/供应链等侧系统深度不足","54","","","",""
"P083","小马","反复重开试错玩家·C","cross","small_android","低","菜品/供应链等侧系统深度不足","52","","","",""
"P084","安子","反复重开试错玩家·D","cross","low_android","中","菜品/供应链等侧系统深度不足","56","","","",""
"P085","阿杰","收集成就党·A","cross","mid_android","低","菜品/供应链等侧系统深度不足","54","","","",""
"P086","小何","收集成就党·B","cross","mid_android","低","菜品/供应链等侧系统深度不足","50","","","",""
"P087","小伍","收集成就党·C","cross","small_android","低","菜品/供应链等侧系统深度不足","48","","","",""
"P088","阿新","收集成就党·D","cross","low_android","低","菜品/供应链等侧系统深度不足","52","","","",""
"P089","小吴","速通效率玩家·A","cross","high_android","中","菜品/供应链等侧系统深度不足","59","","","",""
"P090","小梁","速通效率玩家·B","cross","high_android","低","菜品/供应链等侧系统深度不足","55","","","",""
"P091","阿东","速通效率玩家·C","cross","small_android","低","菜品/供应链等侧系统深度不足","53","","","",""
"P092","小姜","速通效率玩家·D","cross","low_android","中","菜品/供应链等侧系统深度不足","57","","","",""
"P093","阿白","数值套利/漏洞猎人·A","taptap","high_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P094","小段","数值套利/漏洞猎人·B","taptap","high_android","中","菜品/供应链等侧系统深度不足","59","","","",""
"P095","小潘","数值套利/漏洞猎人·C","taptap","small_android","中","菜品/供应链等侧系统深度不足","56","","","",""
"P096","阿许","数值套利/漏洞猎人·D","taptap","low_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P097","小袁","长线连锁经营玩家·A","cross","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P098","阿罗","长线连锁经营玩家·B","cross","tablet","中","菜品/供应链等侧系统深度不足","60","","","",""
"P099","小施","长线连锁经营玩家·C","cross","small_android","中","菜品/供应链等侧系统深度不足","58","","","",""
"P100","阿钟","长线连锁经营玩家·D","cross","low_android","中","菜品/供应链等侧系统深度不足","60","","","",""
